fuel,wb,length,weight,size,system,bore,CR,hp,city_mpg,highway_mpg,price
gas,93.1,159.1,1905,91,2bbl,3.03,9,68,31,38,6795
gas,93.1,166.8,1945,91,2bbl,3.03,9,68,31,38,6695
gas,93.1,166.8,1950,91,2bbl,3.08,9,68,31,38,7395
gas,98.8,177.8,2385,122,2bbl,3.39,8,84,26,32,8845
gas,98.8,177.8,2410,122,2bbl,3.39,8,84,26,32,8495
gas,98.8,177.8,2385,122,2bbl,3.39,8,84,26,32,10595
gas,98.8,177.8,2410,122,2bbl,3.39,8,84,26,32,10245
gas,98.8,177.8,2425,122,2bbl,3.39,8,84,26,32,11245
gas,104.9,175,2670,140,mpfi,3.76,8,120,19,27,18280
diesel,104.9,175,2700,134,idi,3.43,22,72,31,39,18344
diesel,110,190.9,3515,183,idi,3.58,21,123,22,25,25552
diesel,110,190.9,3750,183,idi,3.58,21,123,22,25,28248
diesel,106.7,187.5,3495,183,idi,3.58,21,123,22,25,28176
diesel,115.6,202.6,3770,183,idi,3.58,21,123,22,25,31600
gas,115.6,202.6,3740,234,mpfi,3.46,8,155,16,18,34184
gas,96.6,180.3,3685,234,mpfi,3.46,8,155,16,18,35056
gas,120.9,208.1,3900,308,mpfi,3.8,8,184,14,16,40960
gas,112,199.2,3715,304,mpfi,3.8,8,184,14,16,45400
gas,102.7,178.4,2910,140,mpfi,3.78,8,175,19,24,16503
gas,93.7,157.3,1918,92,2bbl,2.97,9,68,37,41,5389
gas,93.7,157.3,1944,92,2bbl,2.97,9,68,31,38,6189
gas,93.7,157.3,2004,92,2bbl,2.97,9,68,31,38,6669
gas,93,157.3,2145,98,spdi,3.03,7,102,24,30,7689
gas,96.3,173,2370,110,spdi,3.17,7,116,23,30,9959
gas,96.3,173,2328,122,2bbl,3.35,8,88,25,32,8499
gas,95.9,173.2,2833,156,spdi,3.58,7,145,19,24,12629
gas,95.9,173.2,2921,156,spdi,3.59,7,145,19,24,14869
gas,95.9,173.2,2926,156,spdi,3.59,7,145,19,24,14489
gas,96.3,172.4,2365,122,2bbl,3.35,8,88,25,32,6989
gas,96.3,172.4,2405,122,2bbl,3.35,8,88,25,32,8189
gas,96.3,172.4,2403,110,spdi,3.17,7,116,23,30,9279
gas,96.3,172.4,2403,110,spdi,3.17,7,116,23,30,9279
gas,94.5,165.3,1889,97,2bbl,3.15,9,69,31,37,5499
diesel,94.5,165.3,2017,103,idi,2.99,21,55,45,50,7099
gas,94.5,165.3,1918,97,2bbl,3.15,9,69,31,37,6649
gas,94.5,165.3,1938,97,2bbl,3.15,9,69,31,37,6849
gas,94.5,170.2,2024,97,2bbl,3.15,9,69,31,37,7349
gas,94.5,165.3,1951,97,2bbl,3.15,9,69,31,37,7299
gas,94.5,165.6,2028,97,2bbl,3.15,9,69,31,37,7799
gas,94.5,165.3,1971,97,2bbl,3.15,9,69,31,37,7499
gas,94.5,170.2,2037,97,2bbl,3.15,9,69,31,37,7999
gas,95.1,162.4,2008,97,2bbl,3.15,9,69,31,37,8249
gas,97.2,173.4,2324,120,2bbl,3.33,8,97,27,34,8949
gas,97.2,173.4,2302,120,2bbl,3.33,8,97,27,34,9549
gas,100.4,181.7,3095,181,mpfi,3.43,9,152,17,22,13499
gas,100.4,184.6,3296,181,mpfi,3.43,9,152,17,22,14399
gas,100.4,184.6,3060,181,mpfi,3.43,9,152,19,25,13499
gas,91.3,170.7,3071,181,mpfi,3.43,9,160,19,25,17199
gas,91.3,170.7,3139,181,mpfi,3.43,7,200,17,23,19699
gas,99.2,178.5,3139,181,mpfi,3.43,9,160,19,25,18399
gas,107.9,186.7,3020,120,mpfi,3.46,8,97,19,24,11900
diesel,107.9,186.7,3197,152,idi,3.7,21,95,28,33,13200
gas,114.2,198.9,3230,120,mpfi,3.46,8,97,19,24,12440
diesel,114.2,198.9,3430,152,idi,3.7,21,95,25,25,13860
gas,107.9,186.7,3075,120,mpfi,3.46,8,95,19,24,15580
diesel,107.9,186.7,3252,152,idi,3.7,21,95,28,33,16900
gas,114.2,198.9,3285,120,mpfi,3.46,8,95,19,24,16695
diesel,114.2,198.9,3485,152,idi,3.7,21,95,25,25,17075
gas,107.9,186.7,3075,120,mpfi,3.46,8,97,19,24,16630
diesel,107.9,186.7,3252,152,idi,3.7,21,95,28,33,17950
gas,108,186.7,3130,134,mpfi,3.61,7,142,18,24,18150
gas,93.7,157.3,1918,90,2bbl,2.97,9,68,37,41,5572
gas,93.7,157.3,2128,98,spdi,3.03,7,102,24,30,7957
gas,93.7,157.3,1967,90,2bbl,2.97,9,68,31,38,6229
gas,93.7,167.3,1989,90,2bbl,2.97,9,68,31,38,6692
gas,93.7,167.3,2191,98,2bbl,2.97,9,68,31,38,7609
gas,103.3,174.6,2535,122,2bbl,3.35,8,88,24,30,8921
gas,95.9,173.2,2818,156,spdi,3.59,7,145,19,24,12764
gas,94.5,168.9,2778,151,mpfi,3.94,9,143,19,27,22018
gas,89.5,168.9,2756,194,mpfi,3.74,9,207,17,25,32528
gas,89.5,168.9,2756,194,mpfi,3.74,9,207,17,25,34028
gas,89.5,168.9,2800,194,mpfi,3.74,9,207,17,25,37028
gas,99.1,186.6,2658,121,mpfi,3.54,9,110,21,28,11850
gas,99.1,186.6,2695,121,mpfi,3.54,9,110,21,28,12170
gas,99.1,186.6,2707,121,mpfi,2.54,9,110,21,28,15040
gas,99.1,186.6,2758,121,mpfi,3.54,9,110,21,28,15510
gas,99.1,186.6,2808,121,mpfi,3.54,9,160,19,26,18150
gas,99.1,186.6,2847,121,mpfi,3.54,9,160,19,26,18620
gas,93.7,156.9,2050,97,2bbl,3.62,9,69,31,36,5118
gas,93.7,157.9,2120,108,2bbl,3.62,8,73,26,31,7053
gas,93.3,157.3,2240,108,2bbl,3.62,8,73,26,31,7603
gas,97.2,172,2145,108,2bbl,3.62,9,82,32,37,7126
gas,97.2,172,2190,108,2bbl,3.62,9,82,28,33,7775
gas,97.2,172,2340,108,mpfi,3.62,9,94,26,32,9960
gas,97,172,2385,108,2bbl,3.62,9,82,24,25,9233
gas,97,172,2510,108,mpfi,3.62,7,111,24,29,11259
gas,97,173.5,2290,108,2bbl,3.62,9,82,28,32,7463
gas,97,173.5,2455,108,mpfi,3.62,9,94,25,31,10198
gas,96.9,173.6,2420,108,2bbl,3.62,9,82,23,29,8013
gas,96.9,173.6,2650,108,mpfi,3.62,7,111,23,23,11694
gas,95.7,158.7,1985,92,2bbl,3.05,9,62,35,39,5348
gas,95.7,158.7,2040,92,2bbl,3.05,9,62,31,38,6338
gas,95.7,158.7,2015,92,2bbl,3.05,9,62,31,38,6488
gas,95.7,169.7,2280,92,2bbl,3.05,9,62,31,37,6918
gas,95.7,169.7,2290,92,2bbl,3.05,9,62,27,32,7898
gas,95.7,169.7,3110,92,2bbl,3.05,9,62,27,32,8778
gas,95.7,166.3,2081,98,2bbl,3.19,9,70,30,37,6938
gas,95.7,166.3,2109,98,2bbl,3.19,9,70,30,37,7198
diesel,95.7,166.3,2275,110,idi,3.27,22,56,34,36,7898
diesel,95.7,166.3,2275,110,idi,3.27,22,56,38,47,7788
gas,95.7,166.3,2094,98,2bbl,3.19,9,70,38,47,7738
gas,95.7,166.3,2122,98,2bbl,3.19,9,70,28,34,8358
gas,95.7,166.3,2140,98,2bbl,3.19,9,70,28,34,9258
gas,94.5,168.7,2169,98,2bbl,3.19,9,70,29,34,8058
gas,94.5,168.7,2204,98,2bbl,3.19,9,70,29,34,8238
gas,94.5,168.7,2265,98,mpfi,3.24,9,112,26,29,9298
gas,94.5,168.7,2300,98,mpfi,3.24,9,112,26,29,9538
gas,98.4,176.2,2540,146,mpfi,3.62,9,116,24,30,8449
gas,98.4,176.2,2536,146,mpfi,3.62,9,116,24,30,9639
gas,98.4,176.2,2551,146,mpfi,3.62,9,116,24,30,9989
gas,98.4,176.2,2679,146,mpfi,3.62,9,116,24,30,11199
gas,98.4,176.2,2714,146,mpfi,3.62,9,116,24,30,11549
gas,98.4,176.2,2975,146,mpfi,3.62,9,116,24,30,17669
gas,102.4,175.6,2326,122,mpfi,3.31,8,92,29,34,8948
diesel,102.4,175.6,2480,110,idi,3.27,22,73,30,33,10698
gas,102.4,175.6,2414,122,mpfi,3.31,8,92,27,32,9988
gas,102.4,175.6,2414,122,mpfi,3.31,8,92,27,32,10898
gas,102.4,175.6,2458,122,mpfi,3.31,8,92,27,32,11248
gas,102.9,183.5,2976,171,mpfi,3.27,9,161,20,24,16558
gas,102.9,183.5,3016,171,mpfi,3.27,9,161,19,24,15998
gas,104.5,187.8,3131,171,mpfi,3.27,9,156,20,24,15690
gas,104.5,187.8,3151,161,mpfi,3.27,9,156,19,24,15750
diesel,97.3,171.7,2261,97,idi,3.01,23,52,37,46,7775
gas,97.3,171.7,2209,109,mpfi,3.19,9,85,27,34,7975
diesel,97.3,171.7,2264,97,idi,3.01,23,52,37,46,7995
gas,97.3,171.7,2212,109,mpfi,3.19,9,85,27,34,8195
gas,97.3,171.7,2275,109,mpfi,3.19,9,85,27,34,8495
diesel,97.3,171.7,2319,97,idi,3.01,23,68,37,42,9495
gas,97.3,171.7,2300,109,mpfi,3.19,10,100,26,32,9995
gas,94.5,159.3,2254,109,mpfi,3.19,8,90,24,29,11595
gas,94.5,165.7,2221,109,mpfi,3.19,8,90,24,29,9980
